"Folio de Embarque","folio de transferencia","folio de reclamacion","Tienda origen","Codigo tienda origen","Tienda destino","Codigo tienda destino",Fecha,"Cantidad enviada","Codigo de barras",Material,Descripcion,"Correo regional","Liga para aprobar","Liga para cancelar"
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,24.000,37836093937,11549989,"DESODORANTE MAJA ROLL ON 50 ML AQUA PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,12.000,7501198353877,2436064,"DR PEPPER CHERRY 600 ML",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,12.000,7501073840355,11060240,"PEÑAFIEL ADAS LIG NARANJADA 600 ML",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,10.000,7500435138666,11376540,"TOALLA FEM NATURELLA NOC C/ALAS 14PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,8.000,7501007703909,360819,"PAPEL HIG 200HD SUAVEL 12 ROLLOS",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,48.000,7501007704302,360822,"SERVILLETA PETALO 100PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,24.000,7501943420250,1123592,"TOA FEM KOTEX MANZANILLA ANAT C/A 16PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,16.000,7506425602056,9110384,"SERVILLETA KLEENEX DAILY 180 PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,16.000,7501943462175,11239244,"PAPEL HUMEDO COTTONELLE FRESH PACK 42 PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,14.000,7501067741941,2091544,"CEREAL ARITOS MAIZORO CJ 430GR",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,6.000,7501055356898,11336061,"JUGO DEL VALLE MANGO 237 ML BOTELLIN",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,12.000,7622210541369,11467025,"GALLETA OREO VAINILLA CJ 273.6 GR",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,12.000,7501943474307,11052731,"SERVITOALLA 180 HJ MULTICORTE PETALO 1 R",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,30.000,7506425628889,11559978,"SERVILLETA PETALO PRACTICA 160PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,17.000,7501020558173,11400966,"LECHE UHT DESLACTOSADA 6PACK 1LT LALA",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,6.000,7501055328666,1680276,"BEBIDA VITAMIN WATER CITRICO 500 ML PET",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,48.000,7500525491060,11709266,"PROD LACTEO EVAPORADO PRECISSIMO 378 GR",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,24.000,7500525490933,11717586,"CHI C/ZANA VALLEY FOODS  LATA430 GRS",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,48.000,7500525490902,11717835,"CHAMPIÑON REBANADOS VALLEY FOODS 184 GR",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,24.000,97339000061,301937,"SALSA VALENTINA ETIQUETA NEGRA 370ML BOT",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,9.000,97339010015,1183253,"CHILE POLVO VALENTINA 140GR BOTE",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,12.000,7503020778469,11366485,"SAL CON AJO  CONSAZON 120 GRS",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,24.000,33200011309,262676,"ARM & HAMMER CARBONATO C/8",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,12.000,7501080921139,642252,"CREMA DEPILADORA NAIR SENSIBLE 150ML",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,2.000,5010724527481,9076684,"SHAMPOO EN SECO BATISTE ORIGINAL 200ML",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,6.000,7501080900295,11549788,"TIRAS CERA FRIA NAIR CORPORAL 20PZ",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
4096,310,NULL,CHAPALITA,328,MALECON,30,2024-01-31,6.000,7501080900332,11566407,"CREM DEPI SHOWER POWER COCO NAIR 357 GR",arturorf@soriana.com,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=true,http://172.14.3.58:8000/api/v1/transfers/regional-approval/c679182b-bd44-435c-a84e-b6d6891048b7?approved=false
